name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed
Tirtouga,water,rock,5,54,78,103,53,45,22
Carracosta,water,rock,5,74,108,133,83,65,32
Archen,rock,flying,5,55,112,45,74,45,70
Archeops,rock,flying,5,75,140,65,112,65,110
Trubbish,poison,,5,50,50,62,40,62,65
Garbodor,poison,,5,80,95,82,60,82,75
Zorua,dark,,5,40,65,40,80,40,65
Zoroark,dark,,5,60,105,60,120,60,105
Minccino,normal,,5,55,50,40,40,40,75
Cinccino,normal,,5,75,95,60,65,60,115
Gothita,psychic,,5,45,30,50,55,65,45
Gothorita,psychic,,5,60,45,70,75,85,55
Gothitelle,psychic,,5,70,55,95,95,110,65
Solosis,psychic,,5,45,30,40,105,50,20
Duosion,psychic,,5,65,40,50,125,60,30
Reuniclus,psychic,,5,110,65,75,125,85,30
Ducklett,water,flying,5,62,44,50,44,50,55
Swanna,water,flying,5,75,87,63,87,63,98
Vanillite,ice,,5,36,50,50,65,60,44
Vanillish,ice,,5,51,65,65,80,75,59
Vanilluxe,ice,,5,71,95,85,110,95,79
Deerling,normal,grass,5,60,60,50,40,50,75
Sawsbuck,normal,grass,5,80,100,70,60,70,95
Emolga,electric,flying,5,55,75,60,75,60,103
Karrablast,bug,,5,50,75,45,40,45,60
Escavalier,bug,steel,5,70,135,105,60,105,20
Foongus,grass,poison,5,69,55,45,55,55,15
Amoonguss,grass,poison,5,114,85,70,85,80,30
Frillish,water,ghost,5,55,40,50,65,85,40
Jellicent,water,ghost,5,100,60,70,85,105,60
Alomomola,water,,5,165,75,80,40,45,65
Joltik,bug,electric,5,50,47,50,57,50,65
Galvantula,bug,electric,5,70,77,60,97,60,108
Ferroseed,grass,steel,5,44,50,91,24,86,10
Ferrothorn,grass,steel,5,74,94,131,54,116,20
Klink,steel,,5,40,55,70,45,60,30
Klang,steel,,5,60,80,95,70,85,50
Klinklang,steel,,5,60,100,115,70,85,90
Tynamo,electric,,5,35,55,40,45,40,60
Eelektrik,electric,,5,65,85,70,75,70,40
Eelektross,electric,,5,85,115,80,105,80,50
Elgyem,psychic,,5,55,55,55,85,55,30
Beheeyem,psychic,,5,75,75,75,125,95,40
Litwick,ghost,fire,5,50,30,55,65,55,20
Lampent,ghost,fire,5,60,40,60,95,60,55
Chandelure,ghost,fire,5,60,55,90,145,90,80
Axew,dragon,,5,46,87,60,30,40,57
Fraxure,dragon,,5,66,117,70,40,50,67
Haxorus,dragon,,5,76,147,90,60,70,97
Cubchoo,ice,,5,55,70,40,60,40,40
Beartic,ice,,5,95,130,80,70,80,50
Cryogonal,ice,,5,80,50,50,95,135,105
Shelmet,bug,,5,50,40,85,40,65,25
Accelgor,bug,,5,80,70,40,100,60,145
Stunfisk,ground,electric,5,109,66,84,81,99,32
Mienfoo,fighting,,5,45,85,50,55,50,65
Mienshao,fighting,,5,65,125,60,95,60,105
Druddigon,dragon,,5,77,120,90,60,90,48
Golett,ground,ghost,5,59,74,50,35,50,35
Golurk,ground,ghost,5,89,124,80,55,80,55
Pawniard,dark,steel,5,45,85,70,40,40,60
Bisharp,dark,steel,5,65,125,100,60,70,70
Bouffalant,normal,,5,95,110,95,40,95,55
Rufflet,normal,flying,5,70,83,50,37,50,60
Braviary,normal,flying,5,100,123,75,57,75,80
Vullaby,dark,flying,5,70,55,75,45,65,60
Mandibuzz,dark,flying,5,110,65,105,55,95,80
Heatmor,fire,,5,85,97,66,105,66,65
Durant,bug,steel,5,58,109,112,48,48,109
Deino,dark,dragon,5,52,65,50,45,50,38
Zweilous,dark,dragon,5,72,85,70,65,70,58
Hydreigon,dark,dragon,5,92,105,90,125,90,98
Larvesta,bug,fire,5,55,85,55,50,55,60
Volcarona,bug,fire,5,85,60,65,135,105,100
Cobalion,steel,fighting,5,91,90,129,90,72,108
Terrakion,rock,fighting,5,91,129,90,72,90,108
Virizion,grass,fighting,5,91,90,72,90,129,108
Tornadus,flying,,5,79,100,80,110,90,121
Thundurus,electric,flying,5,79,105,70,145,80,101
Reshiram,dragon,fire,5,100,120,100,150,120,90
Zekrom,dragon,electric,5,100,150,120,120,100,90
Landorus,ground,flying,5,89,145,90,105,80,91
Kyurem,dragon,ice,5,125,120,90,170,100,95
Keldeo,water,fighting,5,91,72,90,129,90,108
Meloetta,normal,psychic,5,100,128,90,77,77,128
Genesect,bug,steel,5,71,120,95,120,95,99
Chespin,grass,,6,56,61,65,48,45,38
Quilladin,grass,,6,61,78,95,56,58,57
Chesnaught,grass,fighting,6,88,107,122,74,75,64
Fennekin,fire,,6,40,45,40,62,60,60
Braixen,fire,,6,59,59,58,90,70,73
Delphox,fire,psychic,6,75,69,72,114,100,104
Froakie,water,,6,41,56,40,62,44,71
Frogadier,water,,6,54,63,52,83,56,97
Greninja,water,dark,6,72,145,67,153,71,132
Bunnelby,normal,,6,38,36,38,32,36,57
Diggersby,normal,ground,6,85,56,77,50,77,78
Fletchling,normal,flying,6,45,50,43,40,38,62
Fletchinder,fire,flying,6,62,73,55,56,52,84
Talonflame,fire,flying,6,78,81,71,74,69,126
Scatterbug,bug,,6,38,35,40,27,25,35
Spewpa,bug,,6,45,22,60,27,30,29
Vivillon,bug,flying,6,80,52,50,90,50,89
Litleo,fire,normal,6,62,50,58,73,54,72
Pyroar,fire,normal,6,86,68,72,109,66,106
Flabébé,fairy,,6,44,38,39,61,79,42
Floette,fairy,,6,74,65,67,125,128,92
Florges,fairy,,6,78,65,68,112,154,75
Skiddo,grass,,6,66,65,48,62,57,52
Gogoat,grass,,6,123,100,62,97,81,68
Pancham,fighting,,6,67,82,62,46,48,43
Pangoro,fighting,dark,6,95,124,78,69,71,58
Furfrou,normal,,6,75,80,60,65,90,102
Espurr,psychic,,6,62,48,54,63,60,68
Meowstic,psychic,,6,74,48,76,83,81,104
Honedge,steel,ghost,6,45,80,100,35,37,28
Doublade,steel,ghost,6,59,110,150,45,49,35
Aegislash,steel,ghost,6,60,150,50,150,50,60
Spritzee,fairy,,6,78,52,60,63,65,23
Aromatisse,fairy,,6,101,72,72,99,89,29
Swirlix,fairy,,6,62,48,66,59,57,49
Slurpuff,fairy,,6,82,80,86,85,75,72
Inkay,dark,psychic,6,53,54,53,37,46,45
Malamar,dark,psychic,6,86,92,88,68,75,73
Binacle,rock,water,6,42,52,67,39,56,50
Barbaracle,rock,water,6,72,105,115,54,86,68
Skrelp,poison,water,6,50,60,60,60,60,30
Dragalge,poison,dragon,6,65,75,90,97,123,44
Clauncher,water,,6,50,53,62,58,63,44
Clawitzer,water,,6,71,73,88,120,89,59
Helioptile,electric,normal,6,44,38,33,61,43,70
Heliolisk,electric,normal,6,62,55,52,109,94,109
Tyrunt,rock,dragon,6,58,89,77,45,45,48
Tyrantrum,rock,dragon,6,82,121,119,69,59,71
Amaura,rock,ice,6,77,59,50,67,63,46
Aurorus,rock,ice,6,123,77,72,99,92,58
Sylveon,fairy,,6,95,65,65,110,130,60
Hawlucha,fighting,flying,6,78,92,75,74,63,118
Dedenne,electric,fairy,6,67,58,57,81,67,101
Carbink,rock,fairy,6,50,50,150,50,150,50
Goomy,dragon,,6,45,50,35,55,75,40
Sliggoo,dragon,,6,68,75,53,83,113,60
Goodra,dragon,,6,90,100,70,110,150,80
Klefki,steel,fairy,6,57,80,91,80,87,75
Phantump,ghost,grass,6,43,70,48,50,60,38
Trevenant,ghost,grass,6,85,110,76,65,82,56
Pumpkaboo,ghost,grass,6,59,66,70,44,55,41
Gourgeist,ghost,grass,6,85,100,122,58,75,54
Bergmite,ice,,6,55,69,85,32,35,28
Avalugg,ice,,6,95,117,184,44,46,28
Noibat,flying,dragon,6,40,30,35,45,40,55
Noivern,flying,dragon,6,85,70,80,97,80,123
Xerneas,fairy,,6,126,131,95,131,98,99
Yveltal,dark,flying,6,126,131,95,131,98,99
Zygarde,dragon,ground,6,216,100,121,91,95,85
Diancie,rock,fairy,6,50,160,110,160,110,110
Hoopa,psychic,ghost,6,80,160,60,170,130,80
Volcanion,fire,water,6,80,110,120,130,90,70
Rowlet,grass,flying,7,68,55,55,50,50,42
Dartrix,grass,flying,7,78,75,75,70,70,52
Decidueye,grass,ghost,7,78,107,75,100,100,70
Litten,fire,,7,45,65,40,60,40,70
Torracat,fire,,7,65,85,50,80,50,90
Incineroar,fire,dark,7,95,115,90,80,90,60
Popplio,water,,7,50,54,54,66,56,40
Brionne,water,,7,60,69,69,91,81,50
Primarina,water,fairy,7,80,74,74,126,116,60
Pikipek,normal,flying,7,35,75,30,30,30,65
Trumbeak,normal,flying,7,55,85,50,40,50,75
Toucannon,normal,flying,7,80,120,75,75,75,60
Yungoos,normal,,7,48,70,30,30,30,45
Gumshoos,normal,,7,88,110,60,55,60,45
Grubbin,bug,,7,47,62,45,55,45,46
Charjabug,bug,electric,7,57,82,95,55,75,36
Vikavolt,bug,electric,7,77,70,90,145,75,43
Crabrawler,fighting,,7,47,82,57,42,47,63
Crabominable,fighting,ice,7,97,132,77,62,67,43
Oricorio,fire,flying,7,75,70,70,98,70,93
Cutiefly,bug,fairy,7,40,45,40,55,40,84
Ribombee,bug,fairy,7,60,55,60,95,70,124
Rockruff,rock,,7,45,65,40,30,40,60
Lycanroc,rock,,7,85,115,75,55,75,82
Wishiwashi,water,,7,45,140,130,140,135,30
Mareanie,poison,water,7,50,53,62,43,52,45
Toxapex,poison,water,7,50,63,152,53,142,35
Mudbray,ground,,7,70,100,70,45,55,45
Mudsdale,ground,,7,100,125,100,55,85,35
Dewpider,water,bug,7,38,40,52,40,72,27
Araquanid,water,bug,7,68,70,92,50,132,42
Fomantis,grass,,7,40,55,35,50,35,35
Lurantis,grass,,7,70,105,90,80,90,45
Morelull,grass,fairy,7,40,35,55,65,75,15
Shiinotic,grass,fairy,7,60,45,80,90,100,30
Salandit,poison,fire,7,48,44,40,71,40,77
Salazzle,poison,fire,7,68,64,60,111,60,117
Stufful,normal,fighting,7,70,75,50,45,50,50
Bewear,normal,fighting,7,120,125,80,55,60,60
Bounsweet,grass,,7,42,30,38,30,38,32
Steenee,grass,,7,52,40,48,40,48,62
Tsareena,grass,,7,72,120,98,50,98,72
Comfey,fairy,,7,51,52,90,82,110,100
Oranguru,normal,psychic,7,90,60,80,90,110,60
Passimian,fighting,,7,100,120,90,40,60,80
Wimpod,bug,water,7,25,35,40,20,30,80
Golisopod,bug,water,7,75,125,140,60,90,40
Sandygast,ghost,ground,7,55,55,80,70,45,15
Palossand,ghost,ground,7,85,75,110,100,75,35
Pyukumuku,water,,7,55,60,130,30,130,5
Type: Null,normal,,7,95,95,95,95,95,59
Silvally,normal,,7,95,95,95,95,95,95
Minior,rock,flying,7,60,100,60,100,60,120
Komala,normal,,7,65,115,65,75,95,65
Turtonator,fire,dragon,7,60,78,135,91,85,36
Togedemaru,electric,steel,7,65,98,63,40,73,96
Mimikyu,ghost,fairy,7,55,90,80,50,105,96
Bruxish,water,psychic,7,68,105,70,70,70,92
Drampa,normal,dragon,7,78,60,85,135,91,36
Dhelmise,ghost,grass,7,70,131,100,86,90,40
Jangmo-o,dragon,,7,45,55,65,45,45,45
Hakamo-o,dragon,fighting,7,55,75,90,65,70,65
Kommo-o,dragon,fighting,7,75,110,125,100,105,85
Tapu Koko,electric,fairy,7,70,115,85,95,75,130
Tapu Lele,psychic,fairy,7,70,85,75,130,115,95
Tapu Bulu,grass,fairy,7,70,130,115,85,95,75
Tapu Fini,water,fairy,7,70,75,115,95,130,85
Cosmog,psychic,,7,43,29,31,29,31,37
Cosmoem,psychic,,7,43,29,131,29,131,37
Solgaleo,psychic,steel,7,137,137,107,113,89,97
Lunala,psychic,ghost,7,137,113,89,137,107,97
Nihilego,rock,poison,7,109,53,47,127,131,103
Buzzwole,bug,fighting,7,107,139,139,53,53,79
Pheromosa,bug,fighting,7,71,137,37,137,37,151
Xurkitree,electric,,7,83,89,71,173,71,83
Celesteela,steel,flying,7,97,101,103,107,101,61
Kartana,grass,steel,7,59,181,131,59,31,109
Guzzlord,dark,dragon,7,223,101,53,97,53,43
Necrozma,psychic,,7,97,107,101,127,89,79
Magearna,steel,fairy,7,80,95,115,130,115,65
